4673a,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673b,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673c,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673d,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673e,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673f,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4826a,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4826b,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.81,11.98,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4877,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.81,11.98,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4878,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.81,11.98,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
